id,prediction
0,0.39613283
1,0.30115914
2,0.45676446
3,63.58899
4,363.4892
5,996.4352
6,1936.7252
7,2958.0107
8,3017.249
9,2727.6099
10,2597.9097
11,3419.9397
12,2144.248
13,2374.2178
14,2062.3916
15,1834.7966
16,1683.6603
17,736.25476
18,264.9561
19,16.164684
20,0.1911239
21,0.20622042
22,2.2483993
23,2.037271
24,0.039216727
25,0.21670029
26,5.033444
27,230.78445
28,645.2517
29,1382.5164
30,1931.5062
31,2415.1855
32,3357.314
33,3526.0793
34,3456.7434
35,3520.6072
36,3714.883
37,3387.029
38,3263.7007
39,2731.203
40,1744.1112
41,808.9156
42,392.27893
43,113.00918
44,3.853351
45,0.9396025
46,0.21055847
47,1.1497431
48,0.28715453
49,0.08218479
50,23.19048
51,246.25885
52,704.4271
53,1363.5522
54,2109.0037
55,3368.5908
56,4000.8394
57,4808.993
58,4913.4185
59,4499.6787
60,4525.408
61,4327.1826
62,2778.0708
63,2611.891
64,1000.4416
65,716.0529
66,386.97894
67,123.41384
68,1.1938463
69,0.44570097
70,0.15224269
71,2.7777636
72,11.173548
73,0.5700114
74,19.833652
75,210.46011
76,661.36945
77,1374.4061
78,2740.007
79,3391.1582
80,3585.9895
81,2948.8088
82,3099.311
83,3080.081
84,3841.3298
85,3552.4731
86,3211.2585
87,2297.818
88,1493.3689
89,656.96387
90,366.92096
91,161.39717
92,1.6048303
93,0.3878252
94,0.084026515
95,0.20529935
96,0.21627247
97,0.25039235
98,37.2308
99,207.29987
100,455.9036
101,1285.7546
102,2949.167
103,3303.127
104,4408.4976
105,4863.6
106,5117.179
107,4964.2637
108,4736.2993
109,4220.9883
110,3674.7827
111,2841.1338
112,1954.4412
113,1018.28
114,469.33585
115,200.14624
116,11.365955
117,0.38610756
118,0.50211483
119,0.4523432
120,0.30412322
121,0.41465575
122,63.28421
123,232.17807
124,667.3535
125,1593.4624
126,2472.1948
127,3707.546
128,4158.1406
129,3888.4553
130,3396.603
131,2989.9438
132,2990.932
133,2812.1296
134,2809.494
135,2066.5486
136,1494.0413
137,870.9693
138,422.06128
139,187.52303
140,14.008947
141,0.09319931
142,0.13237031
143,0.1725381
144,0.123841375
145,0.40007702
146,53.562042
147,228.97696
148,652.4652
149,1417.4407
150,2277.2017
151,3608.6719
152,4020.4355
153,4369.158
154,4294.003
155,4466.4507
156,3835.1675
157,3618.482
158,3054.2427
159,2591.8271
160,1650.1146
161,939.9579
162,436.20734
163,189.7109
164,10.751427
165,0.6179629
166,0.18937221
167,0.37256238
168,0.35227385
169,0.3422869
170,11.483385
171,80.1348
172,195.31354
173,264.05573
174,350.386
175,450.17908
176,674.97107
177,790.1697
178,900.38574
179,1841.6178
180,2439.361
181,2077.626
182,2060.041
183,1525.2402
184,900.51013
185,526.7957
186,391.8432
187,191.36252
188,12.825616
189,0.18739417
190,0.11842443
191,0.770352
192,1.2798877
193,0.6241108
194,50.48182
195,226.4425
196,422.1753
197,1130.529
198,1472.2373
199,2105.2
200,1863.4677
201,2193.3457
202,2707.9695
203,2332.9097
204,3351.9497
205,3017.0168
206,2079.9966
207,1166.8099
208,852.4231
209,554.8857
210,253.31245
211,76.77029
212,6.1830897
213,0.6760582
214,0.51490486
215,0.4176658
216,0.48714328
217,2.9301906
218,43.105667
219,138.44534
220,247.63745
221,447.88763
222,1024.5154
223,1680.8634
224,1712.3229
225,1739.8347
226,1854.8206
227,1556.8022
228,1221.1763
229,949.0193
230,819.31885
231,660.00183
232,450.19415
233,350.02185
234,243.85939
235,66.28331
236,10.982056
237,0.73894525
238,0.29237908
239,0.097286664
240,0.3060747
241,0.53990597
242,25.622398
243,152.23376
244,411.99823
245,1203.7902
246,1579.9023
247,1761.6406
248,1930.1372
249,1594.5845
250,2872.063
251,1866.6824
252,2582.6345
253,2720.3342
254,2732.785
255,2416.6243
256,1615.2852
257,1024.8878
258,562.58746
259,227.27844
260,57.106552
261,1.6122385
262,0.33867604
263,0.18127865
264,0.15534458
265,2.3918796
266,96.58832
267,255.05196
268,391.59442
269,708.9906
270,824.10675
271,760.98883
272,938.41846
273,670.6059
274,1167.0264
275,740.6089
276,629.08685
277,561.76636
278,628.7363
279,660.8768
280,603.9575
281,351.7421
282,203.76614
283,61.199226
284,6.827835
285,0.5699839
286,1.3589833
287,2.012164
288,0.0
289,1.7955818
290,75.49675
291,215.68219
292,443.06464
293,1216.5239
294,1165.6343
295,1401.5317
296,1724.6266
297,1958.3145
298,2054.2002
299,2090.874
300,1999.0557
301,2134.0708
302,1762.3154
303,1610.0859
304,1423.2002
305,913.99243
306,412.22528
307,193.80298
308,38.053635
309,0.0
310,0.19605353
311,0.1796939
312,0.2567224
313,2.163127
314,78.25462
315,273.58188
316,473.0739
317,774.38574
318,1269.7043
319,2059.912
320,1832.4897
321,1882.1113
322,2305.444
323,1843.3546
324,1708.3804
325,1820.05
326,1303.1069
327,903.14
328,827.35913
329,414.49982
330,204.86977
331,106.961685
332,11.75305
333,0.59130967
334,0.30106363
335,0.17748842
336,0.03560108
337,1.027461
338,36.535606
339,138.44376
340,260.3045
341,459.77295
342,671.6411
343,928.888
344,1281.0437
345,1540.4119
346,1138.7444
347,1339.3916
348,1465.7672
349,1257.1584
350,1591.287
351,1248.3253
352,912.8039
353,377.31345
354,224.80276
355,124.337036
356,32.432907
357,0.28723294
358,0.036090627
359,0.0
360,0.071880095
361,4.179511
362,52.50701
363,213.15164
364,329.3202
365,590.01685
366,837.17804
367,898.8198
368,1927.1547
369,1385.1968
370,1184.8484
371,1634.2988
372,1367.7942
373,1170.9666
374,1170.6412
375,916.7112
376,1091.1292
377,575.82007
378,191.2444
379,94.80887
380,9.737478
381,0.0
382,0.0
383,0.0
384,0.0
385,2.148364
386,54.61435
387,143.24995
388,355.24786
389,446.22815
390,532.1391
391,693.631
392,871.8062
393,1175.561
394,1406.6163
395,1337.1193
396,1524.3811
397,1403.8848
398,1232.6411
399,1158.5051
400,959.97504
401,928.6998
402,472.26303
403,208.44376
404,69.43007
405,0.85206187
406,0.12587488
407,0.0
408,0.0
409,28.02183
410,159.38255
411,366.83765
412,709.5221
413,1864.7847
414,3041.38
415,4038.6343
416,4809.243
417,5169.09
418,5141.3184
419,5073.2754
420,4827.586
421,4404.3447
422,3655.188
423,3158.6636
424,2201.1562
425,1173.1959
426,561.3345
427,345.01782
428,121.92873
429,2.0052156
430,0.27199346
431,1.9283302
432,0.92254215
433,18.699749
434,169.84586
435,396.9152
436,731.5516
437,1142.7188
438,1988.3918
439,2905.7341
440,4222.489
441,4521.5728
442,3682.5483
443,1407.8297
444,733.6736
445,679.4535
446,893.7437
447,795.3042
448,726.517
449,478.31476
450,314.39557
451,195.11514
452,62.8191
453,2.7640562
454,0.8719283
455,1.0848311
456,0.4855339
457,4.2806597
458,84.73384
459,228.8977
460,414.43024
461,778.7973
462,1881.2224
463,3199.2222
464,4040.2227
465,4315.3003
466,3826.3223
467,3763.655
468,3507.2607
469,3181.8755
470,2858.7612
471,2732.4011
472,2169.546
473,1196.7634
474,593.5406
475,328.3067
476,126.55548
477,4.733021
478,0.5247089
479,0.92067224
480,0.0
481,19.806477
482,126.53193
483,294.30862
484,703.843
485,1272.8893
486,2340.837
487,3038.935
488,3774.9248
489,4650.927
490,4787.5347
491,4714.1934
492,4421.7803
493,4105.99
494,3559.8994
495,2959.5464
496,2247.5454
497,1222.8694
498,583.85315
499,353.77063
500,137.26813
501,5.079634
502,0.5180646
503,0.80857
504,2.3942256
505,8.802519
506,123.35338
507,316.33453
508,722.2437
509,1325.0623
510,2464.8435
511,3537.7817
512,4332.5605
513,4671.869
514,4781.813
515,4209.1426
516,3427.229
517,2416.2605
518,2596.991
519,1715.7664
520,1385.134
521,727.2705
522,404.039
523,229.30817
524,74.856636
525,2.3392944
526,0.19098286
527,0.14130573
528,0.19030537
529,6.0243936
530,64.65303
531,189.2109
532,386.8506
533,630.9641
534,890.42505
535,763.3883
536,879.75104
537,930.1891
538,2213.9512
539,3824.7764
540,4018.3472
541,3561.2366
542,3181.4358
543,2401.8643
544,1600.1127
545,1032.608
546,430.21725
547,266.0102
548,83.74825
549,0.0
550,0.0
551,0.0
552,7.1629534
553,14.495449
554,38.096687
555,119.6106
556,156.47084
557,249.68314
558,480.1932
559,804.883
560,1114.8164
561,1319.7266
562,1364.2389
563,1738.1084
564,1689.2927
565,2584.884
566,2112.65
567,2616.731
568,1762.7621
569,960.0503
570,418.37646
571,177.51462
572,52.23915
573,0.9374039
574,0.0
575,0.0
576,0.032529995
577,10.178093
578,107.3405
579,236.46526
580,665.5443
581,1536.3094
582,2917.4517
583,3926.5464
584,4194.349
585,3861.6816
586,4208.1875
587,4142.7266
588,3718.7568
589,2616.1123
590,2893.2244
591,2006.0347
592,1196.2944
593,776.7905
594,338.01773
595,181.69861
596,77.38661
597,4.781993
598,0.0
599,0.5439496
600,0.0
601,8.202078
602,96.20393
603,266.29605
604,657.25977
605,1411.5576
606,2128.818
607,2935.1182
608,3874.786
609,4219.9995
610,4786.436
611,5035.5786
612,4505.495
613,4092.8628
614,2503.9983
615,1765.0533
616,1373.614
617,821.9795
618,566.65906
619,309.9053
620,113.72182
621,5.359975
622,0.34653494
623,0.49050355
624,1.2654948
625,9.313556
626,128.48273
627,322.75845
628,408.1172
629,574.51996
630,745.3808
631,730.1669
632,1042.9281
633,1197.5305
634,1094.5074
635,935.96826
636,1649.177
637,879.8136
638,773.4762
639,774.191
640,538.4377
641,215.25336
642,146.91388
643,68.50027
644,14.376099
645,0.6883477
646,0.46578306
647,0.18261808
648,0.049821913
649,1.9401093
650,30.524193
651,98.41103
652,130.63168
653,261.59747
654,359.13058
655,691.062
656,611.4706
657,571.8512
658,566.9816
659,640.42883
660,942.1022
661,943.9362
662,826.38
663,719.99023
664,666.6813
665,416.7951
666,259.45618
667,126.21346
668,31.809124
669,0.44479766
670,0.0
671,0.8803942
672,0.0
673,7.670882
674,115.6065
675,261.4776
676,592.468
677,1156.439
678,2449.4644
679,2950.6958
680,3749.8599
681,4024.9158
682,4147.0146
683,4180.048
684,3890.9565
685,2832.3125
686,2257.7498
687,1590.134
688,1157.3192
689,758.4316
690,374.1979
691,263.71658
692,94.71466
693,3.8971362
694,0.7477605
695,0.0
696,0.0
697,10.151466
698,96.20578
699,225.48453
700,315.57257
701,344.58386
702,397.96332
703,524.5978
704,1691.1538
705,1813.9155
706,2838.2173
707,3443.96
708,2993.052
709,2036.6074
710,1489.3267
711,1188.2925
712,780.1322
713,577.3176
714,442.0221
715,174.0827
716,88.66544
717,1.9224235
718,0.63787013
719,1.1728032
720,0.4522836
721,0.30024165
722,0.35010713
723,3.900762
724,56.87484
725,185.73868
726,352.07285
727,468.48523
728,486.0773
729,496.91522
730,551.66986
731,561.61536
732,393.03696
733,393.40106
734,353.53296
735,291.89386
736,252.50885
737,110.73225
738,40.626427
739,1.8741184
740,0.28749046
741,0.17606394
742,0.28004432
743,0.2587884
744,0.046909988
745,0.21046554
746,1.2101839
747,28.253508
748,98.193924
749,198.62616
750,384.05457
751,465.32724
752,581.3727
753,666.55457
754,658.4988
755,675.2371
756,694.22205
757,640.1892
758,629.8589
759,465.58057
760,277.8592
761,129.55367
762,59.35679
763,12.040651
764,0.8814446
765,0.41613173
766,0.26614407
767,2.7330954
768,1.7509617
769,0.08746013
770,1.7066147
771,34.297775
772,128.01227
773,261.84003
774,450.11606
775,598.61957
776,813.371
777,918.8462
778,954.11597
779,838.92725
780,902.10376
781,799.2495
782,583.8835
783,446.39972
784,291.0284
785,156.17586
786,80.65821
787,13.712759
788,0.70412564
789,0.16942734
790,0.19420439
791,2.4116411
792,10.473579
793,0.56353945
794,3.7038803
795,43.28918
796,140.26726
797,299.4552
798,520.64453
799,635.21625
800,718.7654
801,626.3004
802,684.62964
803,702.88214
804,748.2263
805,704.0438
806,647.1758
807,443.89697
808,316.4263
809,156.2387
810,74.85869
811,19.568718
812,0.9617871
813,0.3064214
814,0.04633369
815,0.24793923
816,0.187949
817,0.28555974
818,6.6623197
819,47.151875
820,148.44093
821,278.89383
822,513.5205
823,681.9397
824,805.8761
825,831.8976
826,986.7417
827,996.29285
828,963.4136
829,812.2978
830,658.3812
831,535.5375
832,405.71124
833,233.48186
834,101.86554
835,32.843216
836,1.7826172
837,0.41876608
838,0.515153
839,0.39182538
