id,prediction
0,0.0
0,0.0
0,0.0
3,69.17958808283666
4,330.31853476703577
5,945.2500413044686
6,1903.4310691075561
7,2481.381008508012
8,2462.3154034739728
9,2447.373226940833
10,2668.957104150338
11,2864.4803675252197
12,2346.064177552753
13,2495.285010662736
14,2083.1889273735887
15,1687.4233372261679
16,1204.4114409917336
17,614.4422061514058
18,225.0276082607333
19,22.202541653650222
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
26,10.763163535777338
27,219.19903634130895
28,659.8337498758544
29,1326.9895307276033
30,2090.718512783726
31,3010.1940102581084
32,3681.4258926096563
33,3943.791172468884
34,3956.5429986753397
35,3951.5890093740004
36,3777.8683374272987
37,3575.7461570516343
38,3341.0996655186777
39,2708.0440121168313
40,1752.3733364160114
41,863.0462260487013
42,387.5454177420887
43,101.19124192552994
44,9.984723428288742
0,0.0
0,0.0
47,2.1251992606227583
0,0.0
0,0.0
50,16.982813874554207
51,240.84236221488734
52,715.9239412502402
53,1555.0244598828108
54,2661.3063998305397
55,3500.8718487507385
56,4297.516878385904
57,4754.128351254398
58,4784.69763155832
59,4328.4362292415735
60,4348.01971396541
61,3905.4661069873864
62,2850.268455284754
63,1993.9721851740585
64,1382.3327468669388
65,840.6316238390593
66,424.0343807459387
67,155.93938105258275
0,0.0
0,0.0
0,0.0
0,0.0
72,2.8409151414727583
73,2.3512638756632462
74,20.10192591675765
75,201.31322868768757
76,514.944327095393
77,1449.199421568727
78,2614.109576140532
79,3582.0351076040542
80,3654.509183776916
81,3516.9179816513874
82,3705.522661835241
83,3402.513399139588
84,3357.1699200827425
85,3500.189777434005
86,3438.7025138271674
87,2694.1743551799896
88,1683.140824662523
89,674.6400857719442
90,343.09195982523624
91,124.70640805446921
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
98,45.705412050818566
99,253.02962658132165
100,656.6170183540347
101,1539.5793850849502
102,2730.0240504069607
103,3533.76309030733
104,4236.4603032172
105,4574.193350743792
106,4911.737536109309
107,4787.844550964187
108,4572.865353784337
109,4219.235782583306
110,3597.5654022321896
111,2893.5123394843704
112,1943.734204311122
113,1032.8549092834005
114,517.78974842282
115,216.37936836676937
